name,brand,url,mainImageurl,SKU,Reviews,Rating,Model,retailer,storesku,omsid
16 Ounce(s) Home perimeter Indoor Bug spray,Harris,https://www.lowes.com/pd/Harris-16-Ounce-s-Home-perimeter-Indoor-Bug-spray/5003106323,https://mobileimages.lowes.com/productimages/a75e90bb-7660-46de-b7a9-7bcd68e818ad/69991076.png,4145566,22,4.6,EGG-16,Lowes,4145566,5003106323
16-ft x 20-ft Blue Waterproof Standard Polyethylene 5-mil Tarp,Project Source,https://www.lowes.com/pd/Blue-Hawk-20-ft-x-16-ft-Polyethylene-Tarp/50385578,https://mobileimages.lowes.com/productimages/053c15b5-6baa-4517-b68c-615a3ae17ec6/69265557.jpeg,186793,155,4.4,CH16X20-L,Lowes,186793,50385578
16-ft x 25-ft Black Water resistant Standard Polyethylene 5-mil Tarp,Altocraft,https://www.lowes.com/pd/Altocraft-16-ft-x-24-ft-Mesh/5001462665,https://mobileimages.lowes.com/productimages/8897d6ad-851d-4be5-93cd-8d02b19278fb/41602915.png,3276609,NULL,NULL,WSL26,Lowes,3276609,5001462665
"17"" Culinary Portable Tabletop Griddle 350-Sq. in Black Portable Liquid propane Grill",Blackstone,https://www.lowes.com/pd/Blackstone-Culinary-17-In-Tabletop-Griddle-with-Hood/5001374827,https://mobileimages.lowes.com/productimages/8b5dd805-d21a-4337-b029-ce087834a57a/63073622.jpg,2582824,403,4.7,1933,Lowes,2582824,5001374827
180-Sq. in Black Portable Liquid propane Grill,Charbroil,https://www.lowes.com/pd/Char-Broil-Black-Portable-Liquid-Propane-Grill/5015291755,https://mobileimages.lowes.com/productimages/4e19eb55-a02d-43d3-9e8d-6ce4fd706388/66927566.jpeg,6284827,14,4.4,25302160,Lowes,6284827,5015291755
1-Gallon Plastic Transfer pump,Project Source,https://www.lowes.com/pd/Project-Source-Plastic-Transfer-Pump/1002075886,https://mobileimages.lowes.com/productimages/20a4c641-f2f1-4fc9-acff-5106b34eab45/76706983.jpeg,666405,NULL,NULL,MPHP-100,Lowes,666405,1002075886
1-HP 115 and 230 -Volt 16-Gallon Cast iron Deep well jet pump,Zoeller,https://www.lowes.com/pd/Zoeller-1-HP-115-and-230-Volt-16-GPM-Cast-Iron-Deep-Well-Jet-Pump/5015828521,https://mobileimages.lowes.com/productimages/7e8860e7-01a2-42f7-a4c7-28807c54ad2a/69082927.jpeg,955551,NULL,NULL,1463-0006,Lowes,955551,5015828521
1-HP 115 and 230 -Volt 16-Gallon Cast iron Deep well jet pump,Zoeller,https://www.lowes.com/pd/Zoeller-1-HPCast-Iron-Deep-Well-Jet-Pump/1000667235,https://mobileimages.lowes.com/productimages/259feefe-f7e9-4287-ac59-9d23681451fb/10041811.jpg,955551,77,3.6,1463-0006,Lowes,955551,1000667235
1-HP 115 and 230 -Volt 68-Gallon Cast iron Lawn pump,STAR Water Systems,https://www.lowes.com/pd/STAR-Water-Systems-Star-Water-Systems-1-HP-Cast-Iron-Irrigation-Pump/1002793440,https://mobileimages.lowes.com/productimages/306f0787-cbac-4c19-bb91-a95a240d0d07/15703222.jpg,2551507,5,3.6,HSP10P1,Lowes,2551507,1002793440
2.8-oz Kitchen and Bath Clear Silicone Caulk,POLYMERSHAPES,https://www.lowes.com/pd/Polymershapes-2-8-oz-Clear-Silicone-Caulk/5014519295,https://mobileimages.lowes.com/productimages/76b8f4d0-2e91-400a-abe3-3c6d365a6ef0/63678731.jpg,5404421,11,4.4,GE28,Lowes,5404421,5014519295
20-ft x 30-ft Silver Waterproof Standard Polyethylene 10-mil Tarp,Project Source,https://www.lowes.com/pd/Blue-Hawk-30-ft-x-20-ft-Polyethylene-Tarp/50356264,https://mobileimages.lowes.com/productimages/8a0291c1-02b3-4a39-a182-722cf8411328/69265566.jpeg,187740,83,4.5,CH20X30-H,Lowes,187740,50356264
